"","Country"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","American Samoa"
"5","Andorra"
"6","Angola"
"7","Antigua and Barbuda"
"8","Argentina"
"9","Armenia"
"10","Aruba"
"11","Australia"
"12","Austria"
"13","Azerbaijan"
"14","Bahrain"
"15","Bangladesh"
"16","Barbados"
"17","Belarus"
"18","Belgium"
"19","Belize"
"20","Benin"
"21","Bermuda"
"22","Bhutan"
"23","Bolivia"
"24","Bosnia and Herzegovina"
"25","Botswana"
"26","Brazil"
"27","British Virgin Islands"
"28","Bulgaria"
"29","Burkina Faso"
"30","Burundi"
"31","Cabo Verde"
"32","Cambodia"
"33","Cameroon"
"34","Canada"
"35","Cayman Islands"
"36","Central African Republic"
"37","Chad"
"38","Chile"
"39","China"
"40","Colombia"
"41","Comoros"
"42","Costa Rica"
"43","Cote d'Ivoire"
"44","Croatia"
"45","Cuba"
"46","Curacao"
"47","Cyprus"
"48","Denmark"
"49","Djibouti"
"50","Dominica"
"51","Dominican Republic"
"52","Ecuador"
"53","El Salvador"
"54","Equatorial Guinea"
"55","Eritrea"
"56","Estonia"
"57","Eswatini"
"58","Ethiopia"
"59","Faroe Islands"
"60","Fiji"
"61","Finland"
"62","France"
"63","French Polynesia"
"64","Gabon"
"65","Georgia"
"66","Germany"
"67","Ghana"
"68","Greece"
"69","Greenland"
"70","Grenada"
"71","Guam"
"72","Guatemala"
"73","Guinea"
"74","Guinea-Bissau"
"75","Guyana"
"76","Haiti"
"77","Honduras"
"78","Hungary"
"79","Iceland"
"80","India"
"81","Indonesia"
"82","Iraq"
"83","Ireland"
"84","Isle of Man"
"85","Italy"
"86","Jamaica"
"87","Japan"
"88","Jordan"
"89","Kazakhstan"
"90","Kenya"
"91","Kiribati"
"92","Korea, Dem. People's Rep."
"93","Kosovo"
"94","Kuwait"
"95","Lao PDR"
"96","Latvia"
"97","Lebanon"
"98","Lesotho"
"99","Liberia"
"100","Libya"
"101","Liechtenstein"
"102","Lithuania"
"103","Luxembourg"
"104","Madagascar"
"105","Malawi"
"106","Malaysia"
"107","Maldives"
"108","Mali"
"109","Malta"
"110","Marshall Islands"
"111","Mauritania"
"112","Mauritius"
"113","Mexico"
"114","Moldova"
"115","Monaco"
"116","Mongolia"
"117","Montenegro"
"118","Morocco"
"119","Mozambique"
"120","Myanmar"
"121","Namibia"
"122","Nauru"
"123","Nepal"
"124","Netherlands"
"125","New Caledonia"
"126","New Zealand"
"127","Nicaragua"
"128","Niger"
"129","Nigeria"
"130","North Macedonia"
"131","Northern Mariana Islands"
"132","Norway"
"133","Oman"
"134","Pakistan"
"135","Palau"
"136","Panama"
"137","Papua New Guinea"
"138","Paraguay"
"139","Peru"
"140","Philippines"
"141","Poland"
"142","Portugal"
"143","Puerto Rico"
"144","Qatar"
"145","Romania"
"146","Rwanda"
"147","Samoa"
"148","San Marino"
"149","Sao Tome and Principe"
"150","Saudi Arabia"
"151","Senegal"
"152","Serbia"
"153","Seychelles"
"154","Sierra Leone"
"155","Singapore"
"156","Sint Maarten (Dutch part)"
"157","Slovenia"
"158","Solomon Islands"
"159","Somalia"
"160","South Africa"
"161","South Sudan"
"162","Spain"
"163","Sri Lanka"
"164","St. Martin (French part)"
"165","Sudan"
"166","Suriname"
"167","Sweden"
"168","Switzerland"
"169","Tajikistan"
"170","Tanzania"
"171","Thailand"
"172","Timor-Leste"
"173","Togo"
"174","Tonga"
"175","Trinidad and Tobago"
"176","Tunisia"
"177","Turkiye"
"178","Turkmenistan"
"179","Turks and Caicos Islands"
"180","Tuvalu"
"181","Uganda"
"182","Ukraine"
"183","United Arab Emirates"
"184","United Kingdom"
"185","Uruguay"
"186","Uzbekistan"
"187","Vanuatu"
"188","Virgin Islands (U.S.)"
"189","Zambia"
"190","Zimbabwe"
